F5F4E3F2G4G5G3F6D2F3D6D3E6G6E2F1H5E7C3H3C4H4H2C1D7C2D1E1E8B3B4A5B2A1A4A3A2B5H6C5C6F7B1G2H1G1B6C8D8F8A6C7B7A8G8A7G7H8H7B8 -10 10
F5F6C4F4G5H4F3C5D6D3E3G3G6E6C6C3H5G4H3D7D2E2B4B3F7E1C7A5D8E7E8H7B5A6H6H2A3B6A2F8C2B1F2C8C1F1A1D1G1A4A7B7A8B8G8G7H8B2H1G2 14 10
F5D6C3G5E6F4G6C4C5B2C6F6C2E7E3C7D7B5B4B6F8C8F7E8G3F3D3G4F2H6H3A3A1D2B3E2D1E1F1H4H5C1H7G1A5A6A7A4A2B7B1G8A8B8H1H2G2H8D8G7 20 10
F5F6E6F4C3E7G4C4E8H4H3H2F3D6E3G3G5H5G6C2C7D7C5D3D2E1B3C6B4E2B6A3D8A4B2A6B1B5A5F7H7D1C1C8F8A1A2G8B7A8B8A7G2G7H8H6H1G1F1F2 -4 10
F5F6C4C5E6C3B3F4D3D7C6B4E3D6F3C7A5A3G4E2F2D2E7F8A4A6B5C2B6F7D1H3G5G3G6C1E1H4B1H5G7A7H7B7A8B8C8D8A2H8H6B2G8E8A1F1G1G2H1H2 10 10
F5F4D3F6G4C3C4F3B3C2E3D2C1C6F2E2F1C5G3E1D1H4B6A6E6D6D7B4C7B5E7F7H3H2G5H5H6H7G6G2E8A3B2B7A5D8A2A4A8A7H1A1B1G7F8G1H8G8C8B8 -6 10
F5F6F7G7D3G5H8F8E7C3C4D8D7E3F3B5E6E8F4G4D6G3E2C5G6F2F1G2H6D1E1D2H1H2G1H3C2C1C6B7H4C7A8H5H7G8A5B4B6A7A6A4C8B8A3B3A2B2B1A1 28 10
F5F4F3G4E3E2G2F6G6H6E6D3G5F2H3E7C4C6C5D6C3B6F7H5H4B5H7D7B4C2B3A4E8A3C8D8C7H1E1D1D2G7A6F8A5F1G3A7H8G8B7A8B8B2A1A2C1B1G1H2 -2 10
F5F4G3G4D3F6G7D6G6D2H3F3F2H4H5G5E6F7E8H7D7H8E3G8C1D1E1E2C4C5F1C2C6C8C7B4B5E7B1B3C3B8A5B7A8A4A6A7F8D8B6B2H6H2A1G1H1G2A3A2 -4 10
F5D6C5B4D7F6B5D8E6F3C6F7E7E8F4G5G6E3C4C7H4B3C3D3A3A6A5G7G4H3C2G3A4A2E2H7H6H5H8E1F2D1G8F8F1G1C8B2C1G2A1B8A8B1H1D2H2B6A7B7 22 10
F5F4C3C4D3F6G4C5G7D2E3F3G6F2E2G5C1E7F7G3E6D6H6H5C7E1D1B1E8H7B6C6B3H8D7B4C2A3G1B5A6A5H3H4H2G8F8C8D8H1F1G2A4A2A1B2B8A8B7A7 -18 10
F5F4C3F6G3C5G7D3B5D6C4B3B4C6B6A3D2E2C2A4C7E3E6G4G6G5F3F2D1F1E1C1H3D7H4E7D8A7A5F7G8F8A2H8B7H7C8H6H5A6A8E8B1B8B2A1H2G2G1H1 -26 10
F5D6C4D3C3B3C6G6E6C5F6E3B5E7F7G5F4D7F8D8F3G4F2C7B4D2B6E8C8E2G8A6H3H4G3H2A5A7A8B8D1H8F1G7H5A4H1C2A3B2H6H7B1C1A1A2E1G1G2B7 12 10
F5F6D3E3F7C3C2F4B2C6E2F3G4D2C4F2C5E6E1B4G1D6E7G5D1D7B3F1H4H1G6B5A4H3H5G2C8D8A5E8F8C7B6C1G3B1H2H6H7G7A6B7A1A7A8B8G8A2A3 -36 10
F5F4D3F6G7C2G5H6F3G6E3F7C3C4B4F2B3C6D6E6G3E2H5C5D2D1H7G4H4H8C1H3E1F1B5B6G1A5C7D7D8E8E7A2A3C8A7A6A4A8G8B2B1F8B8B7A1H2G2H1 -12 10
F5D6C3F4E6G5G4F7C5D3C4E3F6E7D2B6C6C2D7G6F2B5F3B4G3D1E1B3H5E2H6G7A6E8C8F1D8F8H8C7A5A4G8A7B2H7C1A1A3H2H3G2H4A2G1H1B1B8B7A8 14 10
